#Predictions based on model below... 
#
# Call:
#   lm(formula = A2 ~ Year + Year2 + Year3, data = data.frame(A2 = table2$A2, 
#                                                             Year = table2$Year, Year2 = table2$Year * table2$Year, Year3 = (table2$Year)^3))
# 
# Residuals:
#   Min      1Q  Median      3Q     Max 
# -2.3504 -1.5337  0.1563  1.1378  2.9066 
# 
# Coefficients:
#   Estimate Std. Error t value Pr(>|t|)    
# (Intercept) -6.360e+05  8.778e+04  -7.246 2.77e-05 ***
#   Year         9.894e+02  1.295e+02   7.643 1.75e-05 ***
#   Year2       -5.131e-01  6.363e-02  -8.064 1.10e-05 ***
#   Year3        8.875e-05  1.042e-05   8.516 6.78e-06 ***
#   ---
#   Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
# 
# Residual standard error: 1.95 on 10 degrees of freedom
# Multiple R-squared:  0.9999,	Adjusted R-squared:  0.9999 
# F-statistic: 3.327e+04 on 3 and 10 DF,  p-value: < 2.2e-16
#


Year Month CO2
1960 2 314.222835571854
1960 3 314.295145164593
1960 4 314.367573295604
1960 5 314.440120271523
1960 6 314.512786401086
1960 7 314.585571992211
1960 8 314.658477353514
1960 9 314.731502792682
1960 10 314.804648617865
1960 11 314.877915137447
1960 12 314.951302659698
1961 1 315.024811492884
1961 2 315.098441944341
1961 3 315.172194323386
1961 4 315.246068937005
1961 5 315.320066094166
1961 6 315.394186102669
1961 7 315.468429271248
1961 8 315.542795907008
1961 9 315.617286319262
1961 10 315.691900814883
1961 11 315.766639703419
1961 12 315.841503292322
1962 1 315.916491889395
1962 2 315.991605803254
1962 3 316.066845342284
1962 4 316.142210814287
1962 5 316.217702527298
1962 6 316.293320789817
1962 7 316.369065909646
1962 8 316.444938195171
1962 9 316.520937954658
1962 10 316.597065496258
1962 11 316.673321127892
1962 12 316.749705157825
1963 1 316.826217894093
1963 2 316.902859645546
1963 3 316.979630719288
1963 4 317.056531423703
1963 5 317.133562067407
1963 6 317.210722958553
1963 7 317.288014404825
1963 8 317.365436715074
1963 9 317.442990196869
1963 10 317.520675158245
1963 11 317.598491907818
1963 12 317.676440753858
1964 1 317.754522004281
1964 2 317.832735966891
1964 3 317.911082950537
1964 4 317.989563262556
1964 5 318.068177212146
1964 6 318.146925106063
1964 7 318.225807254086
1964 8 318.304823962855
1964 9 318.383975541801
1964 10 318.463262298261
1964 11 318.542684540967
1964 12 318.62224257749
1965 1 318.701936716214
1965 2 318.781767265173
1965 3 318.861734533217
1965 4 318.941838828032
1965 5 319.022080457187
1965 6 319.102459729766
1965 7 319.18297695322
1965 8 319.263632436632
1965 9 319.344426486525
1965 10 319.425359413144
